               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,   metrics/angry_mAP, metrics/disgust_mAP,    metrics/fear_mAP,   metrics/happy_mAP, metrics/neutral_mAP,     metrics/sad_mAP,metrics/surprise_mAP,metrics/angry_mAP_50,metrics/disgust_mAP_50, metrics/fear_mAP_50,metrics/happy_mAP_50,metrics/neutral_mAP_50,  metrics/sad_mAP_50,metrics/surprise_mAP_50
                  17,             0.02035,            0.024685,            0.034593,             0.46984,             0.55526,             0.50682,             0.37103,            0.022788,            0.013534,            0.031646,            0.006832,            0.006832,            0.006832,             0.40676,             0.37103,             0.41635,             0.55185,             0.29157,              0.1695,             0.39017,             0.55163,             0.50682,             0.60514,             0.81236,             0.42118,             0.23564,             0.41495
                  18,            0.020064,            0.024288,            0.034055,             0.40454,             0.67733,              0.4938,             0.35021,            0.023565,             0.01409,            0.029949,            0.006634,            0.006634,            0.006634,             0.35086,             0.35021,             0.43968,             0.57342,             0.29822,              0.2296,              0.2095,             0.48594,              0.4938,             0.62533,             0.84781,             0.42662,             0.34811,             0.22898
                  19,            0.019451,            0.023237,            0.034279,             0.47499,             0.61054,             0.55703,              0.3963,            0.023407,            0.013429,            0.027365,            0.006436,            0.006436,            0.006436,             0.41423,              0.3963,             0.47604,             0.57373,              0.3089,             0.21971,             0.38519,             0.60195,             0.55703,             0.67574,             0.86311,             0.44491,             0.32492,             0.43152
                  20,            0.019209,            0.022862,            0.032834,             0.46446,             0.71741,              0.5682,             0.39248,            0.022167,            0.013787,            0.029448,            0.006238,            0.006238,            0.006238,             0.39963,             0.39248,             0.50186,             0.56652,             0.29708,              0.2549,             0.33489,             0.59075,              0.5682,             0.71637,             0.87857,             0.43247,             0.38383,              0.4072
                  21,             0.01905,            0.022768,             0.03324,              0.4566,              0.6287,             0.53972,             0.38847,            0.022674,            0.013961,            0.030617,             0.00604,             0.00604,             0.00604,             0.42498,             0.38847,             0.46649,             0.58519,             0.31181,             0.22112,              0.3212,              0.6178,             0.53972,             0.66742,             0.85259,             0.44735,             0.33198,              0.3212
                  22,            0.018728,             0.02358,            0.032258,             0.41862,             0.62372,             0.52601,             0.38706,            0.022684,            0.013676,            0.031356,            0.005842,            0.005842,            0.005842,             0.38139,             0.38706,             0.46406,             0.55984,              0.3218,             0.17921,             0.41605,             0.53786,             0.52601,             0.66759,              0.8274,             0.45222,             0.25494,             0.41605
                  23,            0.018867,            0.022454,            0.031948,              0.5659,             0.55402,             0.56398,             0.39981,            0.023175,            0.014329,            0.031429,            0.005644,            0.005644,            0.005644,             0.38565,             0.39981,             0.47195,             0.56373,             0.31247,             0.24894,             0.41613,             0.54807,             0.56398,             0.69189,             0.85162,             0.45248,             0.37883,             0.46099
                  24,            0.018228,            0.022068,            0.031541,             0.44328,             0.60696,             0.49528,             0.35232,            0.021168,            0.013573,            0.027863,            0.005446,            0.005446,            0.005446,             0.36761,             0.35232,             0.45824,             0.58023,             0.34228,             0.21122,             0.15434,             0.51319,             0.49528,             0.66353,             0.85262,             0.48068,             0.28983,              0.1718
                  25,             0.01785,            0.022986,             0.03067,             0.45013,             0.62191,             0.52583,             0.38499,            0.022019,            0.013681,            0.032546,            0.005248,            0.005248,            0.005248,             0.36248,             0.38499,              0.4176,             0.58686,             0.32562,             0.23862,             0.37877,             0.49903,             0.52583,              0.5955,             0.86595,              0.4621,              0.3421,             0.39028
                  26,             0.01785,            0.022051,            0.030553,             0.54378,             0.59942,             0.63821,             0.47537,             0.02233,            0.013545,             0.02573,             0.00505,             0.00505,             0.00505,             0.44284,             0.47537,             0.53849,             0.59508,             0.34979,              0.3215,             0.60452,             0.64742,             0.63821,             0.75574,             0.87062,             0.49629,             0.45468,             0.60452
                  27,            0.017798,            0.022523,            0.030068,             0.50441,             0.65664,             0.60583,             0.45684,            0.021705,            0.013678,            0.028776,            0.004852,            0.004852,            0.004852,             0.47269,             0.45684,             0.49699,             0.59733,              0.3333,              0.2895,             0.55126,             0.63632,             0.60583,             0.69933,             0.86794,              0.4698,             0.41034,             0.55126
                  28,            0.017473,            0.021957,            0.028998,             0.50267,               0.649,             0.60915,             0.44821,             0.02138,             0.01362,            0.029412,            0.004654,            0.004654,            0.004654,             0.44734,             0.44821,             0.51408,             0.58766,             0.33034,             0.33037,              0.4795,             0.64677,             0.60915,             0.72337,             0.86641,              0.4663,             0.47257,              0.4795
                  29,            0.017652,             0.02158,            0.029414,              0.4916,             0.66597,             0.59901,             0.44892,            0.021467,            0.014034,            0.029088,            0.004456,            0.004456,            0.004456,             0.42937,             0.44892,             0.45855,             0.59122,             0.31344,             0.32105,             0.57988,             0.59411,             0.59901,             0.65444,             0.86903,             0.44392,              0.4527,             0.57988
                  30,            0.017355,            0.021606,              0.0286,              0.4852,             0.70845,             0.58902,             0.43677,             0.02126,            0.013678,            0.029817,            0.004258,            0.004258,            0.004258,             0.45621,             0.43677,             0.48917,              0.5954,             0.31638,              0.2854,             0.47804,             0.64109,             0.58902,             0.70147,             0.87395,             0.45135,             0.38823,             0.47804
                  31,            0.017098,            0.021843,             0.02834,             0.54955,             0.66003,             0.64421,             0.48148,            0.020852,            0.013663,            0.029471,             0.00406,             0.00406,             0.00406,              0.5155,             0.48148,              0.5171,             0.58595,             0.31657,             0.37098,             0.58279,              0.7162,             0.64421,              0.7288,              0.8663,             0.45637,              0.5148,             0.58279
                  32,            0.016876,            0.021503,            0.027636,             0.55682,             0.67261,             0.65167,             0.48439,             0.02193,            0.013937,            0.029479,            0.003862,            0.003862,            0.003862,             0.46611,             0.48439,             0.50844,             0.60326,             0.33081,             0.36469,             0.63303,             0.65354,             0.65167,             0.72961,             0.88211,             0.47678,             0.50249,             0.66546
