timestamp,person_id,dominant_emotion
2025-06-19 21:11:01,PLACEHOLDER,fear
2025-06-19 21:11:02,PLACEHOLDER,angry
2025-06-19 21:11:02,PLACEHOLDER,fear
2025-06-19 21:11:02,PLACEHOLDER,surprise
2025-06-19 21:11:03,PLACEHOLDER,surprise
2025-06-19 21:11:03,PLACEHOLDER,angry
2025-06-19 21:11:03,PLACEHOLDER,angry
2025-06-19 21:11:03,PLACEHOLDER,surprise
2025-06-19 21:11:04,PLACEHOLDER,sad
2025-06-19 21:11:04,PLACEHOLDER,surprise
2025-06-19 21:11:04,PLACEHOLDER,surprise
2025-06-19 21:11:05,PLACEHOLDER,surprise
2025-06-19 21:11:05,PLACEHOLDER,surprise
2025-06-19 21:11:07,PLACEHOLDER,happy
2025-06-19 21:11:07,PLACEHOLDER,neutral
2025-06-19 21:11:08,PLACEHOLDER,happy
2025-06-19 21:11:09,PLACEHOLDER,surprise
2025-06-19 21:11:09,PLACEHOLDER,happy
2025-06-19 21:11:09,PLACEHOLDER,happy
2025-06-19 21:11:09,PLACEHOLDER,happy
2025-06-19 21:11:10,PLACEHOLDER,angry
2025-06-19 21:11:10,PLACEHOLDER,angry
2025-06-19 21:11:11,PLACEHOLDER,neutral
2025-06-19 21:11:11,PLACEHOLDER,surprise
2025-06-19 21:11:11,PLACEHOLDER,surprise
2025-06-19 21:11:11,PLACEHOLDER,surprise
2025-06-19 21:11:11,PLACEHOLDER,surprise
2025-06-19 21:11:12,PLACEHOLDER,surprise
2025-06-19 21:11:12,PLACEHOLDER,surprise
2025-06-19 21:11:12,PLACEHOLDER,surprise
2025-06-19 21:11:12,PLACEHOLDER,angry
2025-06-19 21:11:13,PLACEHOLDER,surprise
2025-06-19 21:11:13,PLACEHOLDER,surprise
2025-06-19 21:11:13,PLACEHOLDER,surprise
2025-06-19 21:11:13,PLACEHOLDER,surprise
2025-06-19 21:11:13,PLACEHOLDER,surprise
2025-06-19 21:11:14,PLACEHOLDER,surprise
2025-06-19 21:11:14,PLACEHOLDER,surprise
2025-06-19 21:11:14,PLACEHOLDER,surprise
2025-06-19 21:11:14,PLACEHOLDER,surprise
2025-06-19 21:11:15,PLACEHOLDER,surprise
2025-06-19 21:11:15,PLACEHOLDER,surprise
2025-06-19 21:11:15,PLACEHOLDER,surprise
2025-06-19 21:11:15,PLACEHOLDER,angry
2025-06-19 21:11:15,PLACEHOLDER,angry
2025-06-19 21:11:16,PLACEHOLDER,angry
2025-06-19 21:11:16,PLACEHOLDER,angry
2025-06-19 21:11:16,PLACEHOLDER,angry
2025-06-19 21:11:16,PLACEHOLDER,angry
2025-06-19 21:11:17,PLACEHOLDER,angry
2025-06-19 21:11:17,PLACEHOLDER,angry
2025-06-19 21:11:17,PLACEHOLDER,angry
2025-06-19 21:11:17,PLACEHOLDER,angry
2025-06-19 21:11:18,PLACEHOLDER,angry
2025-06-19 21:11:18,PLACEHOLDER,angry
2025-06-19 21:11:18,PLACEHOLDER,angry
2025-06-19 21:11:18,PLACEHOLDER,angry
2025-06-19 21:11:19,PLACEHOLDER,angry
2025-06-19 21:11:19,PLACEHOLDER,surprise
2025-06-19 21:11:19,PLACEHOLDER,surprise
2025-06-19 21:11:19,PLACEHOLDER,surprise
2025-06-19 21:11:19,PLACEHOLDER,neutral
2025-06-19 21:11:20,PLACEHOLDER,surprise
2025-06-19 21:11:20,PLACEHOLDER,neutral
2025-06-19 21:11:20,PLACEHOLDER,happy
2025-06-19 21:11:21,PLACEHOLDER,neutral
2025-06-19 21:11:21,PLACEHOLDER,surprise
2025-06-19 21:11:21,PLACEHOLDER,surprise
2025-06-19 21:11:21,PLACEHOLDER,sad
2025-06-19 21:11:21,PLACEHOLDER,neutral
2025-06-19 21:11:22,PLACEHOLDER,sad
2025-06-19 21:11:22,PLACEHOLDER,sad
2025-06-19 21:11:22,PLACEHOLDER,sad
2025-06-19 21:11:23,PLACEHOLDER,sad
2025-06-19 21:11:23,PLACEHOLDER,sad
2025-06-19 21:11:23,PLACEHOLDER,sad
2025-06-19 21:11:25,PLACEHOLDER,sad
2025-06-19 21:11:25,PLACEHOLDER,sad
2025-06-19 21:11:25,PLACEHOLDER,fear
2025-06-19 21:11:26,PLACEHOLDER,fear
2025-06-19 21:11:29,PLACEHOLDER,angry
2025-06-19 21:11:31,PLACEHOLDER,sad
